v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   -65.100000                     0.000334          0.004945
   -65.000000                     0.000335          0.004951
   -64.900000                     0.000335          0.004958
   -64.800000                     0.000336          0.004964
   -64.700000                     0.000336          0.004971
   -64.600000                     0.000336          0.004977
   -64.500000                     0.000337          0.004984
   -64.400000                     0.000337          0.004990
   -64.300000                     0.000338          0.004997
   -64.200000                     0.000338          0.005003
   -64.100000                     0.000339          0.005010
   -64.000000                     0.000339          0.005017
   -63.900000                     0.000340          0.005023
   -63.800000                     0.000340          0.005030
   -63.700000                     0.000340          0.005036
   -63.600000                     0.000341          0.005043
   -63.500000                     0.000341          0.005050
   -63.400000                     0.000342          0.005056
   -63.300000                     0.000342          0.005063
   -63.200000                     0.000343          0.005070
   -63.100000                     0.000343          0.005077
   -63.000000                     0.000344          0.005083
   -62.900000                     0.000344          0.005090
   -62.800000                     0.000345          0.005097
   -62.700000                     0.000345          0.005104
   -62.600000                     0.000346          0.005111
   -62.500000                     0.000346          0.005117
   -62.400000                     0.000346          0.005124
   -62.300000                     0.000347          0.005131
   -62.200000                     0.000347          0.005138
   -62.100000                     0.000348          0.005145
   -62.000000                     0.000348          0.005152
   -61.900000                     0.000349          0.005159
   -61.800000                     0.000349          0.005166
   -61.700000                     0.000350          0.005172
   -61.600000                     0.000350          0.005179
   -61.500000                     0.000351          0.005186
   -61.400000                     0.000351          0.005193
   -61.300000                     0.000352          0.005200
   -61.200000                     0.000352          0.005207
   -61.100000                     0.000353          0.005214
   -61.000000                     0.000353          0.005222
   -60.900000                     0.000353          0.005229
   -60.800000                     0.000354          0.005236
   -60.700000                     0.000354          0.005243
   -60.600000                     0.000355          0.005250
   -60.500000                     0.000355          0.005257
   -60.400000                     0.000356          0.005264
   -60.300000                     0.000356          0.005271
   -60.200000                     0.000357          0.005278
   -60.100000                     0.000357          0.005286
   -60.000000                     0.000358          0.005293
   -59.900000                     0.000358          0.005300
   -59.800000                     0.000359          0.005307
   -59.700000                     0.000359          0.005315
   -59.600000                     0.000360          0.005322
   -59.500000                     0.000360          0.005329
   -59.400000                     0.000361          0.005336
   -59.300000                     0.000361          0.005344
   -59.200000                     0.000362          0.005351
   -59.100000                     0.000362          0.005358
   -59.000000                     0.000363          0.005366
   -58.900000                     0.000363          0.005373
   -58.800000                     0.000364          0.005381
   -58.700000                     0.000364          0.005388
   -58.600000                     0.000365          0.005395
   -58.500000                     0.000365          0.005403
   -58.400000                     0.000366          0.005410
   -58.300000                     0.000366          0.005418
   -58.200000                     0.000367          0.005425
   -58.100000                     0.000367          0.005433
   -58.000000                     0.000368          0.005440
   -57.900000                     0.000368          0.005448
   -57.800000                     0.000369          0.005455
   -57.700000                     0.000369          0.005463
   -57.600000                     0.000370          0.005471
   -57.500000                     0.000370          0.005478
   -57.400000                     0.000371          0.005486
   -57.300000                     0.000371          0.005494
   -57.200000                     0.000372          0.005501
   -57.100000                     0.000372          0.005509
   -57.000000                     0.000373          0.005517
   -56.900000                     0.000373          0.005524
   -56.800000                     0.000374          0.005532
   -56.700000                     0.000375          0.005540
   -56.600000                     0.000375          0.005548
   -56.500000                     0.000376          0.005555
   -56.400000                     0.000376          0.005563
   -56.300000                     0.000377          0.005571
   -56.200000                     0.000377          0.005579
   -56.100000                     0.000378          0.005587
   -56.000000                     0.000378          0.005595
   -55.900000                     0.000379          0.005603
   -55.800000                     0.000379          0.005610
   -55.700000                     0.000380          0.005618
   -55.600000                     0.000380          0.005626
   -55.500000                     0.000381          0.005634
   -55.400000                     0.000381          0.005642
   -55.300000                     0.000382          0.005650
   -55.200000                     0.000383          0.005658
   -55.100000                     0.000383          0.005666
   -55.000000                     0.000384          0.005674
   -54.900000                     0.000384          0.005683
   -54.800000                     0.000385          0.005691
   -54.700000                     0.000385          0.005699
   -54.600000                     0.000386          0.005707
   -54.500000                     0.000386          0.005715
   -54.400000                     0.000387          0.005723
   -54.300000                     0.000387          0.005731
   -54.200000                     0.000388          0.005740
   -54.100000                     0.000389          0.005748
   -54.000000                     0.000389          0.005756
   -53.900000                     0.000390          0.005764
   -53.800000                     0.000390          0.005773
   -53.700000                     0.000391          0.005781
   -53.600000                     0.000391          0.005789
   -53.500000                     0.000392          0.005798
   -53.400000                     0.000393          0.005806
   -53.300000                     0.000393          0.005814
   -53.200000                     0.000394          0.005823
   -53.100000                     0.000394          0.005831
   -53.000000                     0.000395          0.005840
   -52.900000                     0.000395          0.005848
   -52.800000                     0.000396          0.005857
   -52.700000                     0.000397          0.005865
   -52.600000                     0.000397          0.005874
   -52.500000                     0.000398          0.005882
   -52.400000                     0.000398          0.005891
   -52.300000                     0.000399          0.005899
   -52.200000                     0.000399          0.005908
   -52.100000                     0.000400          0.005917
   -52.000000                     0.000401          0.005925
   -51.900000                     0.000401          0.005934
