v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
   -23.400000                      32.169070          0.004395
   -23.300000                      32.208657          0.004400
   -23.200000                      32.248324          0.004406
   -23.100000                      32.288070          0.004411
   -23.000000                      32.327896          0.004417
   -22.900000                      32.367802          0.004422
   -22.800000                      32.407788          0.004428
   -22.700000                      32.447854          0.004433
   -22.600000                      32.488001          0.004439
   -22.500000                      32.528228          0.004444
   -22.400000                      32.568537          0.004450
   -22.300000                      32.608926          0.004455
   -22.200000                      32.649398          0.004461
   -22.100000                      32.689951          0.004466
   -22.000000                      32.730586          0.004472
   -21.900000                      32.771303          0.004477
   -21.800000                      32.812103          0.004483
   -21.700000                      32.852985          0.004488
   -21.600000                      32.893951          0.004494
   -21.500000                      32.935000          0.004500
   -21.400000                      32.976132          0.004505
   -21.300000                      33.017348          0.004511
   -21.200000                      33.058648          0.004517
   -21.100000                      33.100032          0.004522
   -21.000000                      33.141500          0.004528
   -20.900000                      33.183053          0.004534
   -20.800000                      33.224692          0.004539
   -20.700000                      33.266415          0.004545
   -20.600000                      33.308224          0.004551
   -20.500000                      33.350119          0.004556
   -20.400000                      33.392100          0.004562
   -20.300000                      33.434166          0.004568
   -20.200000                      33.476320          0.004574
   -20.100000                      33.518560          0.004579
   -20.000000                      33.560888          0.004585
   -19.900000                      33.603302          0.004591
   -19.800000                      33.645804          0.004597
   -19.700000                      33.688394          0.004603
   -19.600000                      33.731072          0.004608
   -19.500000                      33.773839          0.004614
   -19.400000                      33.816694          0.004620
   -19.300000                      33.859638          0.004626
   -19.200000                      33.902671          0.004632
   -19.100000                      33.945794          0.004638
   -19.000000                      33.989006          0.004644
   -18.900000                      34.032309          0.004650
   -18.800000                      34.075701          0.004656
   -18.700000                      34.119184          0.004661
   -18.600000                      34.162758          0.004667
   -18.500000                      34.206423          0.004673
   -18.400000                      34.250180          0.004679
   -18.300000                      34.294028          0.004685
   -18.200000                      34.337968          0.004691
   -18.100000                      34.382001          0.004697
   -18.000000                      34.426126          0.004703
   -17.900000                      34.470343          0.004709
   -17.800000                      34.514654          0.004716
