v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   -65.200000                     0.000343          0.005254
   -65.100000                     0.000344          0.005261
   -65.000000                     0.000344          0.005269
   -64.900000                     0.000345          0.005276
   -64.800000                     0.000345          0.005283
   -64.700000                     0.000345          0.005290
   -64.600000                     0.000346          0.005297
   -64.500000                     0.000346          0.005304
   -64.400000                     0.000347          0.005312
   -64.300000                     0.000347          0.005319
   -64.200000                     0.000348          0.005326
   -64.100000                     0.000348          0.005333
   -64.000000                     0.000349          0.005341
   -63.900000                     0.000349          0.005348
   -63.800000                     0.000350          0.005355
   -63.700000                     0.000350          0.005362
   -63.600000                     0.000351          0.005370
   -63.500000                     0.000351          0.005377
   -63.400000                     0.000352          0.005385
   -63.300000                     0.000352          0.005392
   -63.200000                     0.000353          0.005399
   -63.100000                     0.000353          0.005407
   -63.000000                     0.000354          0.005414
   -62.900000                     0.000354          0.005422
   -62.800000                     0.000355          0.005429
   -62.700000                     0.000355          0.005437
   -62.600000                     0.000356          0.005444
   -62.500000                     0.000356          0.005452
   -62.400000                     0.000357          0.005459
   -62.300000                     0.000357          0.005467
   -62.200000                     0.000357          0.005474
   -62.100000                     0.000358          0.005482
   -62.000000                     0.000358          0.005489
   -61.900000                     0.000359          0.005497
   -61.800000                     0.000359          0.005505
   -61.700000                     0.000360          0.005512
   -61.600000                     0.000360          0.005520
   -61.500000                     0.000361          0.005528
   -61.400000                     0.000361          0.005535
   -61.300000                     0.000362          0.005543
   -61.200000                     0.000362          0.005551
   -61.100000                     0.000363          0.005559
   -61.000000                     0.000364          0.005566
   -60.900000                     0.000364          0.005574
   -60.800000                     0.000365          0.005582
   -60.700000                     0.000365          0.005590
   -60.600000                     0.000366          0.005598
   -60.500000                     0.000366          0.005606
   -60.400000                     0.000367          0.005613
   -60.300000                     0.000367          0.005621
   -60.200000                     0.000368          0.005629
   -60.100000                     0.000368          0.005637
   -60.000000                     0.000369          0.005645
   -59.900000                     0.000369          0.005653
   -59.800000                     0.000370          0.005661
   -59.700000                     0.000370          0.005669
   -59.600000                     0.000371          0.005677
   -59.500000                     0.000371          0.005685
   -59.400000                     0.000372          0.005693
   -59.300000                     0.000372          0.005701
   -59.200000                     0.000373          0.005710
   -59.100000                     0.000373          0.005718
   -59.000000                     0.000374          0.005726
   -58.900000                     0.000374          0.005734
   -58.800000                     0.000375          0.005742
   -58.700000                     0.000376          0.005750
   -58.600000                     0.000376          0.005759
   -58.500000                     0.000377          0.005767
   -58.400000                     0.000377          0.005775
   -58.300000                     0.000378          0.005783
   -58.200000                     0.000378          0.005792
   -58.100000                     0.000379          0.005800
   -58.000000                     0.000379          0.005808
   -57.900000                     0.000380          0.005817
   -57.800000                     0.000380          0.005825
   -57.700000                     0.000381          0.005834
   -57.600000                     0.000382          0.005842
   -57.500000                     0.000382          0.005850
   -57.400000                     0.000383          0.005859
   -57.300000                     0.000383          0.005867
   -57.200000                     0.000384          0.005876
   -57.100000                     0.000384          0.005884
   -57.000000                     0.000385          0.005893
   -56.900000                     0.000385          0.005902
   -56.800000                     0.000386          0.005910
   -56.700000                     0.000387          0.005919
   -56.600000                     0.000387          0.005927
   -56.500000                     0.000388          0.005936
   -56.400000                     0.000388          0.005945
   -56.300000                     0.000389          0.005953
   -56.200000                     0.000389          0.005962
   -56.100000                     0.000390          0.005971
   -56.000000                     0.000390          0.005980
   -55.900000                     0.000391          0.005988
   -55.800000                     0.000392          0.005997
   -55.700000                     0.000392          0.006006
   -55.600000                     0.000393          0.006015
   -55.500000                     0.000393          0.006024
   -55.400000                     0.000394          0.006033
   -55.300000                     0.000395          0.006042
   -55.200000                     0.000395          0.006050
   -55.100000                     0.000396          0.006059
   -55.000000                     0.000396          0.006068
   -54.900000                     0.000397          0.006077
   -54.800000                     0.000397          0.006086
   -54.700000                     0.000398          0.006095
   -54.600000                     0.000399          0.006104
   -54.500000                     0.000399          0.006114
   -54.400000                     0.000400          0.006123
   -54.300000                     0.000400          0.006132
   -54.200000                     0.000401          0.006141
   -54.100000                     0.000402          0.006150
   -54.000000                     0.000402          0.006159
   -53.900000                     0.000403          0.006169
   -53.800000                     0.000403          0.006178
   -53.700000                     0.000404          0.006187
   -53.600000                     0.000405          0.006196
   -53.500000                     0.000405          0.006206
   -53.400000                     0.000406          0.006215
   -53.300000                     0.000406          0.006224
   -53.200000                     0.000407          0.006234
   -53.100000                     0.000408          0.006243
   -53.000000                     0.000408          0.006253
   -52.900000                     0.000409          0.006262
   -52.800000                     0.000410          0.006271
   -52.700000                     0.000410          0.006281
   -52.600000                     0.000411          0.006291
   -52.500000                     0.000411          0.006300
   -52.400000                     0.000412          0.006310
   -52.300000                     0.000413          0.006319
   -52.200000                     0.000413          0.006329
   -52.100000                     0.000414          0.006338
   -52.000000                     0.000415          0.006348
   -51.900000                     0.000415          0.006358
   -51.800000                     0.000416          0.006368
   -51.700000                     0.000416          0.006377
   -51.600000                     0.000417          0.006387
   -51.500000                     0.000418          0.006397
   -51.400000                     0.000418          0.006407
   -51.300000                     0.000419          0.006417
   -51.200000                     0.000420          0.006426
   -51.100000                     0.000420          0.006436
   -51.000000                     0.000421          0.006446
   -50.900000                     0.000422          0.006456
   -50.800000                     0.000422          0.006466
   -50.700000                     0.000423          0.006476
   -50.600000                     0.000424          0.006486
   -50.500000                     0.000424          0.006496
   -50.400000                     0.000425          0.006506
   -50.300000                     0.000426          0.006516
   -50.200000                     0.000426          0.006526
   -50.100000                     0.000427          0.006537
   -50.000000                     0.000428          0.006547
   -49.900000                     0.000428          0.006557
   -49.800000                     0.000429          0.006567
   -49.700000                     0.000430          0.006578
   -49.600000                     0.000430          0.006588
   -49.500000                     0.000431          0.006598
   -49.400000                     0.000432          0.006608
   -49.300000                     0.000432          0.006619
   -49.200000                     0.000433          0.006629
   -49.100000                     0.000434          0.006640
   -49.000000                     0.000434          0.006650
   -48.900000                     0.000435          0.006661
   -48.800000                     0.000436          0.006671
   -48.700000                     0.000436          0.006682
   -48.600000                     0.000437          0.006692
   -48.500000                     0.000438          0.006703
   -48.400000                     0.000438          0.006713
   -48.300000                     0.000439          0.006724
   -48.200000                     0.000440          0.006735
   -48.100000                     0.000440          0.006745
   -48.000000                     0.000441          0.006756
   -47.900000                     0.000442          0.006767
   -47.800000                     0.000443          0.006778
   -47.700000                     0.000443          0.006788
   -47.600000                     0.000444          0.006799
   -47.500000                     0.000445          0.006810
   -47.400000                     0.000445          0.006821
   -47.300000                     0.000446          0.006832
   -47.200000                     0.000447          0.006843
   -47.100000                     0.000448          0.006854
   -47.000000                     0.000448          0.006865
   -46.900000                     0.000449          0.006876
   -46.800000                     0.000450          0.006887
   -46.700000                     0.000450          0.006898
   -46.600000                     0.000451          0.006909
   -46.500000                     0.000452          0.006920
   -46.400000                     0.000453          0.006932
