v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
   -24.200000                      59.867724          0.006549
   -24.100000                      59.943867          0.006557
   -24.000000                      60.020165          0.006566
   -23.900000                      60.096619          0.006574
   -23.800000                      60.173230          0.006582
   -23.700000                      60.249998          0.006591
   -23.600000                      60.326924          0.006599
   -23.500000                      60.404007          0.006608
   -23.400000                      60.481249          0.006616
   -23.300000                      60.558650          0.006625
   -23.200000                      60.636210          0.006633
   -23.100000                      60.713930          0.006642
   -23.000000                      60.791810          0.006650
   -22.900000                      60.869851          0.006659
   -22.800000                      60.948053          0.006667
   -22.700000                      61.026417          0.006676
   -22.600000                      61.104943          0.006684
   -22.500000                      61.183631          0.006693
   -22.400000                      61.262483          0.006702
   -22.300000                      61.341499          0.006710
   -22.200000                      61.420678          0.006719
   -22.100000                      61.500023          0.006728
   -22.000000                      61.579532          0.006736
   -21.900000                      61.659207          0.006745
   -21.800000                      61.739048          0.006754
   -21.700000                      61.819056          0.006763
   -21.600000                      61.899231          0.006771
   -21.500000                      61.979573          0.006780
   -21.400000                      62.060084          0.006789
   -21.300000                      62.140763          0.006798
   -21.200000                      62.221612          0.006807
   -21.100000                      62.302630          0.006815
   -21.000000                      62.383818          0.006824
   -20.900000                      62.465177          0.006833
   -20.800000                      62.546707          0.006842
   -20.700000                      62.628408          0.006851
   -20.600000                      62.710282          0.006860
   -20.500000                      62.792329          0.006869
   -20.400000                      62.874549          0.006878
   -20.300000                      62.956942          0.006887
   -20.200000                      63.039510          0.006896
   -20.100000                      63.122253          0.006905
   -20.000000                      63.205172          0.006914
   -19.900000                      63.288266          0.006923
   -19.800000                      63.371537          0.006932
   -19.700000                      63.454984          0.006941
   -19.600000                      63.538610          0.006951
   -19.500000                      63.622413          0.006960
   -19.400000                      63.706395          0.006969
   -19.300000                      63.790556          0.006978
   -19.200000                      63.874897          0.006987
   -19.100000                      63.959418          0.006997
   -19.000000                      64.044120          0.007006
   -18.900000                      64.129004          0.007015
